Service,Message
"ai-ops-orchestrator","Apps offboarded successfully"
"ai-ops-orchestrator","Posted module delete notification to metrics service for all modules"
"ai-ops-metrics-generator","Deleting all future time series data"
"ai-ops-metrics-generator","Deleting all static metrics"
"ai-ops-metrics-generator","Received request to delete all module metrics"
"ai-ops-orchestrator","Sending module delete notification to metrics service for all modules"
"ai-ops-orchestrator","Clean up application registrations and module settings"
"ai-ops-orchestrator","Sending offboard API call to aiops-pao"
"ai-ops-correlation","10.200.100.106:55510 - ""DELETE /api/platform/ai-ops-correlation/v1/onboard HTTP/1.1"" 204"
"ai-ops-correlation","Received request to delete onboard configurations"
"ai-ops-correlation","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-correlation","Connecting to MongoDB at staging-ai-ops-correlation-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-correlation","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Sending offboard API call to ai-ops-correlation"
"ai-ops-anomaly-detection","10.200.100.58:51734 - ""DELETE /api/platform/ai-ops-anomaly-detection/v1/onboard HTTP/1.1"" 204"
"ai-ops-anomaly-detection","Received request to delete onboard configurations"
"ai-ops-anomaly-detection","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-anomaly-detection","Connecting to MongoDB at staging-ai-ops-anomaly-detection-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-anomaly-detection","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Sending offboard API call to ai-ops-anomaly-detection"
"ai-ops-forecast","10.200.100.58:9734 - ""DELETE /api/platform/ai-ops-forecast/v1/onboard HTTP/1.1"" 204"
"ai-ops-forecast","Received request to delete onboard configurations"
"ai-ops-forecast","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-forecast","Connecting to MongoDB at staging-ai-ops-forecast-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-forecast","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Sending offboard API call to ai-ops-forecast"
"ai-ops-orchestrator","Sending offboard API call to softwareUpgradePlanner"
"ai-ops-orchestrator","Sending offboard API call to feature-adoption"
"ai-ops-orchestrator","Sending offboard API call to ai-ops-bestpractices"
"ai-ops-analytics","Deleting bootstrap config for modules null"
"ai-ops-orchestrator","Sending offboard API call to ai-ops-analytics"
"ai-ops-orchestrator","Total apps to offboard: 8"
