Service,Message
"ai-ops-analytics","Completed the save of Elephant flow insight object"
"ai-ops-insights","InsightModelUpdateService::Updating insight model"
"ai-ops-insights","InsightModelController::Update insight"
"ai-ops-analytics","AiopsInsightApiClient::update insight model"
"ai-ops-analytics","Saving Alert Model from Alert Client"
"ai-ops-analytics","Updating existing insight model using impacted resource and impacted member"
"ai-ops-insights","http://platform.staging.cdo.cisco.com/v1/insights called with query param (insightType:ELEPHANT_FLOW AND impactedResources.uid:7e498ae4-3373-4229-9b8d-d6fd4724c6c8 AND insightState:ACTIVE)"
"ai-ops-insights","InsightModelController::Get Insights"
"ai-ops-analytics","AiopsInsightApiClient::Get Insights with filter (insightType:ELEPHANT_FLOW AND impactedResources.uid:7e498ae4-3373-4229-9b8d-d6fd4724c6c8 AND insightState:ACTIVE)"
"ai-ops-analytics","Saving Elephant flow insight object"
"ai-ops-analytics","Executing Create or Update AIOPS Alert for Elephant Flow"
"ai-ops-analytics","Completed Elephant Flow Process Application Data"
"vdb-applications","2025-07-27T17:51:11.141Z	21fd6de7-47c0-4cbc-8ce5-d75a3157b02a	INFO	[dd.trace_id=16528463151576453997 dd.span_id=635411200670208776] The latest vdb version from db is : vdb_411"
"ai-ops-analytics","ElephantFlow Count : 1"
"ai-ops-analytics","AiopsDataQueryApiClient::executeRangeQuery : Query= {rate(efd_total_bytes{uuid=""c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"",}[3m])}&start=1753638594&end=1753638654&step=1m"
"ai-ops-analytics","AiopsDataQueryApiClient::executeRangeQuery : Query= {efd_cpu_usage{uuid=""c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"",}}&start=1753638594&end=1753638654&step=1m"
"ai-ops-insights","http://platform.staging.cdo.cisco.com/v1/insights called with query param (insightType:ELEPHANT_FLOW AND impactedResources.uid:7e498ae4-3373-4229-9b8d-d6fd4724c6c8 AND insightState:ACTIVE)"
"ai-ops-insights","InsightModelController::Get Insights"
"ai-ops-analytics","AiopsInsightApiClient::Get Insights with filter (insightType:ELEPHANT_FLOW AND impactedResources.uid:7e498ae4-3373-4229-9b8d-d6fd4724c6c8 AND insightState:ACTIVE)"
"ai-ops-analytics","Executing Alert Trigger - Elephant Flow Process Application Data"
"ai-ops-analytics","Processing Alert Trigger. Module Name: ELEPHANT_FLOW Alert Type: FIRING Device Id: c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"
"ai-ops-analytics","Executing Alert Trigger Prepare Action"
"ai-ops-orchestrator","Finished plugin execution : PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Alert trigger posted to ai-ops-analytics"
"ai-ops-orchestrator","Alert trigger of type ELEPHANT_FLOW for device c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8 posted to AIOPS Analytics"
"ai-ops-orchestrator","responseEntity: <200 OK OK,{""tags"":{},""tagKeys"":[],""tagValues"":[],""uid"":""85be6fbb-1f8b-42ca-b07b-67a7f0778c79"",""name"":"""",""namespace"":""aiops"",""type"":""alert-trigger"",""version"":1,""createdDate"":1753638669852,""lastUpdatedDate"":1753638670091,""actionContext"":null,""stateMachineContext"":null,""stateDate"":null,""status"":""IDLE"",""stateMachineDetails"":null,""scheduledStateMachineEnabledMap"":{},""pendingStatesQueue"":[],""createdTenantUid"":null,""moduleName"":""ELEPHANT_FLOW"",""deviceId"":""c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"",""alertType"":""FIRING"",""state"":null,""triggerState"":null,""queueTriggerState"":null,""alertDate"":1753638654684},[Content-Type:""application/json"", Transfer-Encoding:""chunked"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:51:10 GMT"", Expires:""0"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""8a8d4359-7b5e-44e1-8ae1-5d467d810cfa"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", X-Cache:""Miss from cloudfront"", Via:""1.1 802eebfb6e9ab6bda66a7156bc7add92.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""HIO50-C2"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""KAkeqJeiDlKogYdbz6upkQIuTALA_lZvayKOEorHUFMqmZSIXMX2dg==""]>"
"ai-ops-orchestrator","Starting plugin execution : PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Finished plugin execution : PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Starting plugin execution : PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Processing a FIRING alert : PrometheusAlert(status=firing, labels={alertname=ElephantFlowDuressDetected, severity=critical, tenant_uuid=af5f6035-7538-4709-b073-7b5f4b69543c, uuid=c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8}, annotations={summary=Snort busy detected with elephant flow by device, timestamp=2025-07-27 17:50:54.684 +0000 UTC}, startsAt=2025-07-27T17:48:54.685Z, endsAt=0001-01-01T00:00:00Z, generatorURL=https://stagingaiopscisco.grafana.net/explore?left=%7B%22datasource%22%3A%22grafanacloud-prom%22%2C%22queries%22%3A%5B%7B%22datasource%22%3A%7B%22type%22%3A%22prometheus%22%2C%22uid%22%3A%22grafanacloud-prom%22%7D%2C%22expr%22%3A%22count+by+%28tenant_uuid%2C+uuid%29+%28efd_cpu_usage%29+%3E+0+and+on+%28tenant_uuid%29+elephant_flow_enabled+%3E+0%22%2C%22refId%22%3A%22A%22%7D%5D%2C%22range%22%3A%7B%22from%22%3A%22now-1h%22%2C%22to%22%3A%22now%22%7D%7D, fingerPrint=null)"
"ai-ops-orchestrator","Security context set for tenant"
"ai-ops-alert-services","Alert notification published, AlertName: ElephantFlowDuressDetected, AlertStatus: firing, tenantId: af5f6035-7538-4709-b073-7b5f4b69543c"
