Service,Message
"ai-ops-insights","InsightModelUpdateService::Updating insight model"
"ai-ops-insights","InsightModelController::Update insight"
"ai-ops-analytics","AiopsInsightApiClient::update insight model"
"ai-ops-insights","http://platform.staging.cdo.cisco.com/v1/insights called with query param (insightType:ELEPHANT_FLOW AND impactedResources.uid:7e498ae4-3373-4229-9b8d-d6fd4724c6c8 AND insightState:ACTIVE)"
"ai-ops-insights","InsightModelController::Get Insights"
"ai-ops-analytics","AiopsInsightApiClient::Get Insights with filter (insightType:ELEPHANT_FLOW AND impactedResources.uid:7e498ae4-3373-4229-9b8d-d6fd4724c6c8 AND insightState:ACTIVE)"
"ai-ops-analytics","Executing Alert Trigger - Process Elephant Flow Clear for device c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"
"ai-ops-analytics","Processing Alert Trigger. Module Name: ELEPHANT_FLOW Alert Type: RESOLVED Device Id: c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"
"ai-ops-analytics","Executing Alert Trigger Prepare Action"
"ai-ops-orchestrator","Finished plugin execution : PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Alert trigger posted to ai-ops-analytics"
"ai-ops-orchestrator","Alert trigger of type ELEPHANT_FLOW for device c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8 posted to AIOPS Analytics"
"ai-ops-orchestrator","responseEntity: <200 OK OK,{""tags"":{},""tagKeys"":[],""tagValues"":[],""uid"":""c78be09e-e753-47cb-a823-4723d12c7877"",""name"":"""",""namespace"":""aiops"",""type"":""alert-trigger"",""version"":1,""createdDate"":1753638774974,""lastUpdatedDate"":1753638776091,""actionContext"":null,""stateMachineContext"":null,""stateDate"":null,""status"":""IDLE"",""stateMachineDetails"":null,""scheduledStateMachineEnabledMap"":{},""pendingStatesQueue"":[],""createdTenantUid"":null,""moduleName"":""ELEPHANT_FLOW"",""deviceId"":""c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8"",""alertType"":""RESOLVED"",""state"":null,""triggerState"":null,""queueTriggerState"":null,""alertDate"":1753638714684},[Content-Type:""application/json"", Transfer-Encoding:""chunked"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:52:56 GMT"", Expires:""0"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""f2a5bc64-6040-4b82-86e8-a77572f779c4"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", X-Cache:""Miss from cloudfront"", Via:""1.1 802eebfb6e9ab6bda66a7156bc7add92.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""HIO50-C2"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""G58UhedY46RyybXrVbr6a1ApQM84eX6C4huIbDRxIXO4AvLWx4lePw==""]>"
"ai-ops-orchestrator","Starting plugin execution : PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Finished plugin execution : PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Starting plugin execution : PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"ai-ops-orchestrator","Processing a RESOLVED alert : PrometheusAlert(status=resolved, labels={alertname=ElephantFlowDuressDetected, severity=critical, tenant_uuid=af5f6035-7538-4709-b073-7b5f4b69543c, uuid=c5d308c8-3168-11f0-bd43-f2c0a0fdf6a8}, annotations={summary=Snort busy detected with elephant flow by device, timestamp=2025-07-27 17:51:54.684 +0000 UTC}, startsAt=2025-07-27T17:48:54.685Z, endsAt=2025-07-27T17:52:54.685Z, generatorURL=https://stagingaiopscisco.grafana.net/explore?left=%7B%22datasource%22%3A%22grafanacloud-prom%22%2C%22queries%22%3A%5B%7B%22datasource%22%3A%7B%22type%22%3A%22prometheus%22%2C%22uid%22%3A%22grafanacloud-prom%22%7D%2C%22expr%22%3A%22count+by+%28tenant_uuid%2C+uuid%29+%28efd_cpu_usage%29+%3E+0+and+on+%28tenant_uuid%29+elephant_flow_enabled+%3E+0%22%2C%22refId%22%3A%22A%22%7D%5D%2C%22range%22%3A%7B%22from%22%3A%22now-1h%22%2C%22to%22%3A%22now%22%7D%7D, fingerPrint=null)"
"ai-ops-orchestrator","Security context set for tenant"
"ai-ops-alert-services","Alert notification published, AlertName: ElephantFlowDuressDetected, AlertStatus: resolved, tenantId: af5f6035-7538-4709-b073-7b5f4b69543c"
